Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,CreditScoreBins,Geography_France,Geography_Germany,Geography_Spain,Gender_Male,Gender_Female
0.32432432432432434,6,0.0,2,1,0,0.8135094401515344,1,1,0,0,1,0
0.28265154327115366,9,0.5437363433097478,1,1,1,0.7588036157453036,1,1,0,0,0,1
0.2567567567567568,7,0.4093644953614434,1,1,0,0.04538548431375196,3,0,1,0,1,0
0.1891891891891892,3,0.49998403734360836,2,1,1,0.6525783212296774,1,0,1,0,0,1
0.43243243243243246,1,0.5591616101979892,3,0,0,0.34763139879858523,0,0,0,1,0,1
0.21621621621621623,4,0.3539905784057583,2,1,0,0.3427861360759952,3,0,1,0,1,0
0.17567567567567569,5,0.0,2,0,1,0.0003924874825545839,1,1,0,0,1,0
0.1891891891891892,9,0.5088188993387714,1,0,0,0.3044987296286795,2,1,0,0,0,1
0.35135135135135137,3,0.3543359377506621,1,1,0,0.36863390453788336,2,0,1,0,1,0
0.02702702702702703,4,0.38194961946501865,1,1,0,0.8887218729388657,1,1,0,0,1,0
0.16216216216216217,5,0.0,2,0,1,0.39347982732350933,2,0,0,1,0,1
0.5,9,0.0,1,1,0,0.3229382906067529,1,1,0,0,1,0
0.20270270270270271,4,0.0,1,1,0,0.7616300356684064,1,1,0,0,0,1
0.1891891891891892,3,0.5446822652177224,1,1,1,0.07088776978201418,1,0,0,1,1,0
0.2972972972972973,7,0.40044681089441536,1,1,1,0.6227559731954401,1,0,0,1,0,1
0.28378378378378377,4,0.0,2,0,1,0.9104362966663316,3,0,0,1,0,1
0.3783783783783784,4,0.39418299278404234,2,1,1,0.43093495428813444,1,0,1,0,1,0
0.43243243243243246,6,0.3756056891465376,2,1,1,0.2532866388740124,2,1,0,0,0,1
0.33783783783783783,3,0.5380099147028182,1,1,0,0.03045205817155538,0,0,1,0,0,1
0.2567567567567568,10,0.5594460683220028,2,1,1,0.6478232671220101,1,0,0,1,0,1
0.43243243243243246,5,0.5203487599287823,3,1,0,0.9238211749222051,1,0,0,1,0,1
0.24324324324324326,8,0.0,1,0,1,0.7933528151938509,1,1,0,0,0,1
0.14864864864864866,4,0.42088670344202306,1,1,1,0.21549352963207982,3,1,0,0,0,1
0.28378378378378377,1,0.5264188340373577,2,1,0,0.9613096550720593,1,1,0,0,0,1
0.28378378378378377,5,0.5953138981647887,2,1,1,0.5454861439267449,3,0,1,0,0,1
0.6216216216216217,3,0.4943991403043364,1,1,1,0.5570101444687967,0,1,0,0,0,1
0.28265154327115366,9,0.5241948633407293,2,1,1,0.25872770849616133,1,0,1,0,1,0
0.2567567567567568,3,0.0,2,1,0,0.45541924253766225,1,0,0,1,0,1
0.5945945945945946,5,0.4580798124051085,3,0,1,0.09125571492077492,0,0,1,0,0,1
0.2567567567567568,2,0.3177860381479987,1,1,1,0.2877643314936576,0,0,1,0,1,0
0.02702702702702703,2,0.48263934572000927,2,1,0,0.017592380072296902,1,0,1,0,0,1
0.2972972972972973,1,0.5769592347235486,2,1,1,0.8333025803964278,1,0,1,0,1,0
0.28265154327115366,2,0.0,2,1,0,0.07081931324441483,2,0,0,1,1,0
0.35135135135135137,2,0.7410665421964752,2,1,0,0.327040382356515,2,0,1,0,0,1
0.5405405405405406,9,0.5014029002771604,2,1,0,0.30443017308152925,0,0,1,0,0,1
0.22972972972972974,3,0.5831514301284637,1,1,1,0.5272097985357601,1,1,0,0,1,0
0.21621621621621623,4,0.5908755224083213,1,0,1,0.16864955603260107,0,0,1,0,0,1
0.10810810810810811,10,0.20710763481698888,2,1,0,0.22750002625250706,2,1,0,0,1,0
0.3648648648648649,1,0.4905832085050947,1,1,1,0.20517369408778535,0,0,1,0,0,1
0.3783783783783784,9,0.49201139793451604,1,1,1,0.15679747415878215,1,0,1,0,1,0
0.28265154327115366,2,0.5073216778971893,2,1,1,0.8346689608857646,0,1,0,0,0,1
0.28265154327115366,7,0.5896275256619133,1,1,1,0.5339215895117982,3,0,0,1,0,1
0.2972972972972973,8,0.666330341534286,1,1,1,0.9258152153530662,1,1,0,0,0,1
0.10810810810810811,8,0.0,1,1,0,0.10875728632084361,1,1,0,0,1,0
0.17567567567567569,3,0.44074185658408166,1,1,1,0.47356352531666773,2,1,0,0,0,1
0.0945945945945946,0,0.3895564529805708,2,1,1,0.8026354016808604,0,0,1,0,0,1
0.08108108108108109,4,0.0,1,0,1,0.47051203389923735,3,1,0,0,0,1
0.28378378378378377,8,0.5112196350318968,1,1,0,0.3089354033310181,1,0,1,0,0,1
0.2972972972972973,10,0.0,1,1,0,0.6392393973624481,2,1,0,0,1,0
